Gen Number,Diversity
0,0.5332523493398348
1,0.6040414907443606
2,0.5560309295220548
3,0.5505339120667568
4,0.5562024896212008
5,0.5318253716142299
6,0.6122699768057324
7,0.5389362115901476
8,0.527953863189521
9,0.5119114438848418
10,0.5372395061527583
11,0.49013708682626583
12,0.5012700551652223
13,0.5490010658756623
14,0.5361652529720167
15,0.5251772687300671
16,0.5120543574143336
17,0.4675658936387075
18,0.43649374945514535
19,0.44893749226362
20,0.4597644443518603
21,0.45074654913787954
22,0.41540142794270996
23,0.40044145140043186
24,0.4278934922897982
25,0.4160512331129073
26,0.3910690070096608
27,0.4133948654463301
28,0.3086599242737634
29,0.2903417566738623
30,0.3576630182756468
31,0.3677557284794148
32,0.3255728609032672
33,0.3811633163981639
34,0.382923013425257
35,0.4368012009881955
36,0.4441990563734263
37,0.4113313170009317
38,0.3997399413550322
39,0.402830474050537
40,0.3979598519797225
41,0.4271433787253197
42,0.450195440295804
43,0.4341013212327559
44,0.4633145775596139
45,0.5034083450222114
46,0.5029290946836218
47,0.5126490723297263
48,0.4340941549064247
49,0.46007107172493267
50,0.46825957401059803
51,0.5147617122835902
52,0.47231510891284467
53,0.4728556908749237
54,0.4621716263245883
55,0.5264264805292119
56,0.543304072708577
57,0.5346225573446729
58,0.4778211499594557
59,0.47761511522154604
60,0.46094977669303355
61,0.480767153827194
62,0.3991246715831098
63,0.42358089669740534
64,0.3923946943085444
65,0.3515743449793954
66,0.372335726540599
67,0.3925287518547167
68,0.3826495726863214
69,0.3850563530495588
70,0.4531061197861198
71,0.42807566157384364
72,0.4102756290909168
73,0.4008952252444857
74,0.3930207578617216
75,0.3450773811997489
76,0.3593414208246728
77,0.2735951711357356
78,0.3020224768283062
79,0.3255261591243579
80,0.3163572610981244
81,0.3027523290269426
82,0.3505551734801379
83,0.3564785357231703
84,0.3840887891479237
85,0.42387018735278537
86,0.4585841141803792
87,0.424656601854862
88,0.3966380706997702
89,0.46391105860970383
90,0.4668744490938369
91,0.4759483976176348
92,0.4643103977883644
93,0.45980400433038027
94,0.40692633653051946
95,0.4348744448321488
96,0.3531858348719197
97,0.27899385070165
98,0.22098374925904501
99,0.2109058661416828
100,0.1876785961762113
101,0.20041279993916378
102,0.23186399628024193
103,0.2832026721610117
104,0.266488324348316
105,0.2624382277663973
106,0.278125257467685
107,0.3130460928324864
108,0.3277400983117158
109,0.2967454833068664
110,0.2854340515934199
111,0.2788554664717699
112,0.2702204577159903
113,0.3124647869892162
114,0.3063902650522199
115,0.3007279833282478
116,0.2659405291134198
117,0.293259252199609
118,0.2859694787691443
119,0.3259813914152341
120,0.3698021589559971
121,0.3334603658436403
122,0.298375300458967
123,0.2848455971398333
124,0.3037942174179359
125,0.2641344744757879
126,0.24411518425616657
127,0.2650883828853097
128,0.2572628930977534
129,0.3011644640053727
130,0.3063831084098262
131,0.2929296409396464
132,0.2788964537214594
133,0.3332434335036391
134,0.3564722534644235
135,0.3406424239898189
136,0.3242373134186509
137,0.3168958810459185
138,0.3448631345903525
139,0.341428573201209
140,0.3439472225552313
141,0.3420826865273895
142,0.3650730913033141
143,0.3384971833245679
144,0.3550466509461158
145,0.3738130720176669
146,0.390382063541172
147,0.4254178679055213
148,0.4150995452681546
149,0.4206540490373011
150,0.3976405449399978
151,0.4315320020663485
152,0.4064010978052569
153,0.3942475689414988
154,0.3839012680209487
155,0.4005132563877458
156,0.3218619415471846
157,0.3419636257311288
158,0.3445001073296004
159,0.3429412475480243
160,0.3709225075451421
161,0.3953099520322568
162,0.41988406185180016
163,0.41887524765725115
164,0.4252771823476399
165,0.4792290842023781
166,0.3732980383232114
167,0.3398467700974562
168,0.3808238742828205
169,0.3478952595402639
170,0.24715743615436078
171,0.2647343463254778
172,0.3001190087812855
173,0.2495826716808654
174,0.2989755143681388
175,0.320748006217919
176,0.3732870440212504
177,0.40989693816176775
178,0.47453432024604003
179,0.4412333537513594
180,0.4291529615387194
181,0.3774971718604805
182,0.3552944837100706
183,0.3280886611565527
184,0.3287200254572862
185,0.3546312431208518
186,0.3227689371903175
187,0.3136036678515643
188,0.2613568342452212
189,0.2515420216301804
190,0.2754423147779785
191,0.2716643676034615
192,0.3075779240003053
193,0.3378574065029728
194,0.3295349447936399
195,0.3203746995563307
196,0.3129904004796456
197,0.3306148429123596
198,0.3113322515679741
199,0.2915430117964647
200,0.3161683860882859
201,0.3080899373339059
202,0.3113327096789799
203,0.3066686467954821
204,0.2977983240575727
205,0.3007718390321633
206,0.2831435681282098
207,0.2672673149592448
208,0.3073562663256804
209,0.327364209327789
210,0.2885804115405042
211,0.297108393344236
212,0.281393294157294
213,0.3142220435279241
214,0.2785699861553201
215,0.2916578254556589
216,0.3270330181161566
217,0.3605856344349072
218,0.3584837957513407
219,0.3539495255917403
220,0.3688679328042279
221,0.4123391390062583
222,0.3591605453017219
223,0.3722279507530742
224,0.41414803966778474
225,0.4135928363410484
226,0.3780213448508971
227,0.3664904541538886
228,0.3497544681894072
229,0.3587737643786503
230,0.3267183359973685
231,0.3648137146913523
232,0.3666696670177311
233,0.3553374956743612
234,0.3758074450380972
235,0.4079770782183806
236,0.3906165537837414
237,0.379347790772069
238,0.379079643914222
239,0.384675109731136
240,0.3745829979062943
241,0.41988237333101475
242,0.4755236820007389
243,0.3953650450703893
244,0.3545553292492429
245,0.3894331043642701
246,0.43107931671888255
247,0.4329912479584649
248,0.3992682976376697
249,0.3889372068944368
250,0.4282602438049066
251,0.3881807780789927
252,0.3921946417748482
253,0.41453832883410585
254,0.3905949789276349
255,0.3491340262396323
256,0.3883717442634783
257,0.3179591932977551
258,0.2862334099016166
259,0.3019225913410705
260,0.3195870580188872
261,0.3551175340553208
262,0.3981455536007827
263,0.2959138198377434
264,0.2891874222411207
265,0.3257821141957275
266,0.3407260152473085
267,0.3260687739065133
268,0.3521555467066677
269,0.3695297195810971
270,0.33715169571803
271,0.3429897439547916
272,0.3130618008081141
273,0.2791572919872233
274,0.2991714062473746
275,0.2880362987140547
276,0.3233915638263546
277,0.287644805477993
278,0.30269721274696
279,0.3245325942545001
280,0.3407349642095407
281,0.3213518788660915
282,0.3088726019522996
283,0.3421652730655556
284,0.3656747893120901
285,0.3326486945827508
286,0.3667482798108976
287,0.4031834787202566
288,0.3609575361875179
289,0.3834180391352019
290,0.3952891352353764
291,0.3722523641285217
292,0.42066534537605554
293,0.4273662288729957
294,0.4465587050511008
295,0.45555642101263494
296,0.41179041481191236
297,0.3883625392368
298,0.44721794485063243
299,0.3987133799414538
300,0.2867822927418502
301,0.3136335228609875
302,0.3191986386256499
303,0.3012650087921968
304,0.3029473383790928
305,0.3159059180219326
306,0.3322730079097496
307,0.3138676650377791
308,0.3615478358248893
309,0.371071326633009
310,0.3330304709655637
311,0.3222365405333615
312,0.3373408748062297
313,0.3440949554172556
314,0.3491753027017145
315,0.40064976474542424
316,0.4196966698765311
317,0.4313880088020358
318,0.45742852159993375
319,0.44020156182673575
320,0.43573128230101144
321,0.3712201641405519
322,0.3082479217858957
323,0.2873681999429806
324,0.2671265574273779
325,0.2744144461510747
326,0.2787184335936736
327,0.2912032644376874
328,0.3165021303988224
329,0.3424552606867967
330,0.3248875756922562
331,0.3245750500463144
332,0.3235103797298814
333,0.4078830440843639
334,0.3667447675643622
335,0.4026531853571288
336,0.3592828491488983
337,0.3934792306123722
338,0.3821742940235794
339,0.3683260202205062
340,0.42268389195174494
341,0.46627425469697126
342,0.3849481580493792
343,0.2861974180246838
344,0.2989323162300569
345,0.3162557766317532
346,0.2784083358521035
347,0.2845835426020779
348,0.2979993388624358
349,0.3305691944162438
350,0.3446011949086073
351,0.3271822006029907
352,0.3479873506965305
353,0.3647853011145069
354,0.3940044631119631
355,0.4328239480408338
356,0.4327578695908366
357,0.3355797031003044
358,0.3216612582061129
359,0.3299513925545781
360,0.3418850863165203
361,0.3325891672367299
362,0.3465267745129144
363,0.3642146420708105
364,0.41420277273836226
365,0.4038290155662641
366,0.3340057857232731
367,0.3074988169739345
368,0.3324147817791829
369,0.3097656019787952
370,0.3468739208627726
371,0.3462695007128425
372,0.3846697766143485
373,0.3494358201158944
374,0.3596543877251346
375,0.386882745515204
376,0.4114409063441674
377,0.41769861633374405
378,0.4649753096087119
379,0.42277689454760836
380,0.43002874176612205
381,0.4246075709944712
382,0.370963810126287
383,0.4159000465355539
384,0.4247015245005003
385,0.41687407171899393
386,0.3935814098781875
387,0.3722562732800912
388,0.3609429822505554
389,0.3841987931759216
390,0.3613225122737243
391,0.3831444272913362
392,0.4056742010814419
393,0.3926496481558126
394,0.4455025583490756
395,0.3578314838763438
396,0.3673272748796158
397,0.4015038452924483
398,0.40407872047033083
399,0.395384951415975
400,0.3902154423196418
401,0.4308801514281978
402,0.45896379316148905
403,0.4392595030967639
404,0.44422579343580254
405,0.4673330521274332
406,0.487178766305796
407,0.4595073337649973
408,0.5092705558540886
409,0.525563571760065
410,0.5542421077565017
411,0.5472618104180934
412,0.5017401188320237
413,0.5030002555196956
414,0.47511034508134353
415,0.43350954334465064
416,0.44458551369410026
417,0.45002775967606146
418,0.44814756776363296
419,0.41364514858415974
420,0.4752209190640165
421,0.4915537879336417
422,0.4724671796736374
423,0.4847691811787184
424,0.5299079593761323
425,0.5384562352115231
426,0.46487269539820614
427,0.3567459854032603
428,0.3731734241482579
429,0.3474479611142027
430,0.4108702497557116
431,0.3245562483770731
432,0.297655528787969
433,0.3197693285534057
434,0.3303856055522685
435,0.348290056747043
436,0.3630239048679214
437,0.4176799241948273
438,0.3834695319554612
439,0.4012534678607086
440,0.3940729119949525
441,0.41477114270423077
442,0.4237710414370275
443,0.4472184241658267
444,0.46317097454026823
445,0.48752244613105045
446,0.4552527295106363
447,0.40951207945897805
448,0.4605784648048692
449,0.4078985998429503
450,0.46103757447055804
451,0.4705836588126674
452,0.4551577373081823
453,0.46217520400817846
454,0.5280913360911096
455,0.555663803372359
456,0.5577185885473633
457,0.4862395053941274
458,0.4570098802667137
459,0.5355608519908682
460,0.46040449494798363
461,0.4471218656115107
462,0.4906355889563633
463,0.5284659308945567
464,0.4635693883266036
465,0.3367279602555145
466,0.3123229430983115
467,0.3008488871423749
468,0.3573522457154933
469,0.3712760397991128
470,0.3929957734596446
471,0.41213391811803046
472,0.4722248987187633
473,0.4917843054083786
474,0.46165629463445035
475,0.4684032508242348
476,0.3994892198209397
477,0.3571581195166965
478,0.4160650802584673
479,0.367955247328519
480,0.3736589802001846
481,0.39748346641135
482,0.4039759012714292
483,0.400421931587878
484,0.4278117701359111
485,0.43211343032129185
486,0.4043137706379435
487,0.3971935279919894
488,0.3836562126594183
489,0.3167931211581234
490,0.2419939971075083
491,0.259445596960135
492,0.2881930227766104
493,0.3006960352502794
494,0.3086007616483194
495,0.3493001040967969
496,0.4088729124688813
497,0.43486096077473146
498,0.3906215336170717
499,0.40066988677571447
